,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,id,cnt,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5698,
36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3600,
14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2854,
45,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,1503,
5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,1426,
11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1042,
21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1008,
67,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,29,691,
27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15,596,
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,571,
76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,31,557,
16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10,546,
15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9,432,
80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,374,
400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,372,
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,369,
32,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,18,330,
69,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,330,
224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76,284,
111,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43,248,
637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,169,233,
356,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,222,
93,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,37,215,
442,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,189,
234,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81,178,
3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,176,
19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,172,
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42,171,
249,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,87,167,
325,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,107,167,
181,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,60,166,
225,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,77,153,
28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,150,
227,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78,143,
6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,136,
90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,135,
557,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160,134,
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,133,
209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,133,
266,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,90,131,
124,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,45,130,
216,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,75,122,
172,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,57,120,
213,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,74,114,
31,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,17,109,
236,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,108,
186,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,105,
1554,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,101,27044
1337,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,258,99,
421,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,127,97,
78,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,97,
210,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,73,96,
101,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,96,
1210,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,247,96,
602,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,167,95,
385,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,120,92,
529,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,91,
257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,89,91,
298,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,97,89,
370,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,118,84,
395,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,122,82,
551,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,157,82,
183,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,62,82,
267,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,91,81,
34,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,80,
108,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,41,80,
300,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,99,79,
1182,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,241,79,
179,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59,77,
717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,181,76,
114,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,73,
61,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,72,
88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,70,
436,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,132,69,
352,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,116,65,
500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,146,65,
428,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,64,
429,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,131,62,
321,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,106,61,
182,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,61,
9,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,6,60,
453,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,135,60,
350,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,115,60,
413,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,126,60,
313,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,102,60,
591,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,166,60,
540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,155,58,
467,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,141,58,
18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,56,
331,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,109,53,
1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,242,53,
746,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,187,52,
544,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,156,51,
242,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,84,50,
85,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,34,50,
463,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,49,
152,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,48,
628,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,168,46,
2661,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,371,46,
1340,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,259,45,
1181,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,240,45,
1142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,235,44,
461,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,137,44,
494,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,43,
1321,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,257,42,
307,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,101,40,
238,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,83,40,
1534,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,284,39,
1357,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,262,39,
276,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93,38,
2782,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,383,38,
967,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,211,38,
187,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,64,38,
1009,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,216,38,
1427,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,270,37,
204,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,68,37,
2841,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,385,37,
455,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,136,35,
1073,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,225,34,
512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,149,34,
207,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,70,34,
2503,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,363,34,
1707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,302,34,
656,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,33,
2083,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,329,33,
1720,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,304,32,
1401,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,266,32,
894,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,200,32,
1412,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,268,32,
427,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,129,31,
506,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,148,30,
3073,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,406,30,
1617,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,292,29,
1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,267,29,
6068,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,589,29,
64,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,28,29,
320,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,105,29,
994,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,29,
1158,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,237,29,
2697,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,373,28,
7247,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,646,28,
253,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,28,
1178,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,239,27,
735,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,185,27,
660,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,173,27,
94,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,38,27,
206,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,69,27,
49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,26,
2856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,388,26,
1691,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,300,26,
177,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,58,26,
2260,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,343,25,
1043,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,220,25,
44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,
1734,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,307,24,
1149,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,236,24,
1680,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,299,24,
2145,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,334,23,
1081,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,227,22,
905,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,202,22,
452,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,134,22,
839,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,193,21,
17,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,11,21,
1023,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,217,21,
491,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,144,21,
2402,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,21,
937,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,208,20,
891,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,198,20,
555,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,159,20,
1222,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,248,20,
336,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,110,20,
698,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,177,19,
1295,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,252,19,
319,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,104,19,
727,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,183,18,
655,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,171,18,
3739,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,450,18,
3584,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,441,17,
2460,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,360,17,
5842,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,579,17,
1096,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,229,17,
3107,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,409,16,
5075,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,530,16,
476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,143,16,
1432,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,271,16,
1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,272,16,
2495,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,362,16,
7144,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,640,16,
127,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,46,16,
890,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,16,
466,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,140,16,
2151,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,335,15,
4739,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,501,15,
2062,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,325,15,
347,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,112,15,
522,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,151,15,
816,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,190,15,
1256,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,250,15,
4903,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,515,15,
163,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,56,15,
3748,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,451,14,
316,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,103,14,
2170,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,336,14,
3195,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,414,14,
1074,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,226,13,
4288,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,477,13,
2739,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,379,13,
1479,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,274,13,
145,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,51,13,
3637,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,443,13,
5507,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,555,13,
5008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,524,13,
643,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,170,13,
5486,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,553,13,
5447,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,550,13,
5644,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,564,13,
687,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,175,13,
5753,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,572,13,
5119,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,13,
1305,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,253,12,
2425,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,355,12,
5707,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,570,12,
7183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,643,12,
3677,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,445,12,
1522,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,280,12,
2730,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,377,12,
1579,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,289,12,
339,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,111,12,
391,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,121,12,
563,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,162,12,
10141,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,747,12,
11134,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,782,12,
1397,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,264,11,
1194,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,244,11,
5763,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,573,11,
274,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,92,11,
946,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,209,11,
4008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,464,11,
2078,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,328,11,
3288,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,422,11,
2855,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,387,11,
990,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,214,11,
1618,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,293,11,
8329,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,679,11,
578,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,163,11,
2430,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,356,10,
6798,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,625,10,
1641,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,296,10,
1730,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,306,10,
5841,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,578,10,
7780,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,664,10,
8694,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,696,10,
1871,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,319,10,
1804,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,314,10,
8841,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,702,10,
972,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,10,
3973,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,462,10,
8207,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,676,10,
233,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,80,10,
4248,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,474,10,
926,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,207,9,
1808,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,315,9,
2745,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,380,9,
6330,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,603,9,
2844,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,386,9,
4315,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,480,9,
5232,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,539,9,
2946,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,393,9,
3330,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,426,9,
1474,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,273,9,
2997,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,397,8,
8647,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,693,8,
5786,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,575,8,
1770,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,311,8,
5088,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,8,
12794,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,846,8,
2111,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,331,8,
583,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,164,8,
